Step,v_fracdone,Temp,Press,Density,PotEng,KinEng,TotEng
5960,0.298,1.0208823,0.027182614,0.033333333,-0.86410683,1.5297921,0.6656853
5980,0.299,1.0102421,0.033630627,0.033333333,-0.86675313,1.5138477,0.6470946
6000,0.3,1.0059028,0.030607702,0.033333333,-0.86199676,1.5073453,0.64534852
6020,0.301,1.0242319,0.02973024,0.033333333,-0.87118201,1.5348115,0.66362947
6040,0.302,1.0121224,0.031657806,0.033333333,-0.84901799,1.5166654,0.6676474
6060,0.303,0.99762775,0.031583054,0.033333333,-0.85141244,1.4949452,0.64353274
6080,0.304,0.99036746,0.026657974,0.033333333,-0.85629444,1.4840656,0.6277712
6100,0.305,0.9931052,0.02741553,0.033333333,-0.84735428,1.4881681,0.64081385
6120,0.306,1.0002652,0.031447075,0.033333333,-0.84764965,1.4988974,0.65124771
6140,0.307,1.0101407,0.031507511,0.033333333,-0.8840085,1.5136958,0.6296873
6160,0.308,1.0022812,0.02961464,0.033333333,-0.89753186,1.5019184,0.6043865
6180,0.309,0.9891406,0.028246745,0.033333333,-0.87445452,1.4822272,0.60777267
6200,0.31,0.99869169,0.028271242,0.033333333,-0.87637371,1.4965395,0.62016579
6220,0.311,0.99500777,0.034422457,0.033333333,-0.88695044,1.4910191,0.60406871
6240,0.312,0.9725856,0.025238324,0.033333333,-0.88546511,1.4574195,0.57195441
6260,0.313,0.96880986,0.024505208,0.033333333,-0.88465204,1.4517616,0.56710954
6280,0.314,0.97126888,0.027626639,0.033333333,-0.86999828,1.4554464,0.58544813
6300,0.315,0.97668983,0.029004184,0.033333333,-0.87964778,1.4635697,0.58392193
6320,0.316,0.96340943,0.028470359,0.033333333,-0.88455384,1.443669,0.55911519
